z,u,T,rho,viscosity,thermalConductivity,cp,HeatRelease,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,ProdRate-H2,ProdRate-H,ProdRate-O,ProdRate-O2,ProdRate-OH,ProdRate-H2O,ProdRate-HO2,ProdRate-H2O2,ProdRate-C,ProdRate-CH,ProdRate-CH2,ProdRate-CH2(S),ProdRate-CH3,ProdRate-CH4,ProdRate-CO,ProdRate-CO2,ProdRate-HCO,ProdRate-CH2O,ProdRate-CH2OH,ProdRate-CH3O,ProdRate-CH3OH,ProdRate-C2H,ProdRate-C2H2,ProdRate-C2H3,ProdRate-C2H4,ProdRate-C2H5,ProdRate-C2H6,ProdRate-HCCO,ProdRate-CH2CO,ProdRate-HCCOH,ProdRate-N,ProdRate-NH,ProdRate-NH2,ProdRate-NH3,ProdRate-NNH,ProdRate-NO,ProdRate-NO2,ProdRate-N2O,ProdRate-HNO,ProdRate-CN,ProdRate-HCN,ProdRate-H2CN,ProdRate-HCNN,ProdRate-HCNO,ProdRate-HOCN,ProdRate-HNCO,ProdRate-NCO,ProdRate-N2,ProdRate-AR,ProdRate-C3H7,ProdRate-C3H8,ProdRate-CH2CHO,ProdRate-CH3CHO
0.0,0.24294953751275916,293.0,1.1601204780977943,1.7828794215958204e-05,0.026444399516824153,1061.1304556187115,255.90472657780717,1.9313237393073024e-09,6.166797566011095e-15,-3.824201887663557e-15,0.22297139825403517,1.8535531807424926e-13,5.119017918020132e-13,7.833392207234943e-15,-2.6574021056126863e-14,-1.0649293172270427e-14,2.2783267113549323e-19,-2.1888302823549143e-15,1.6469714075774583e-19,-5.641723461637705e-14,0.04304003706650945,4.2032568649527796e-14,8.490094448950418e-16,2.3573528798459047e-19,6.359337590332093e-14,2.468655290904081e-19,2.463007584332143e-19,-1.107720587257877e-15,3.976289948424878e-14,3.957991490689463e-16,2.296409977062975e-19,3.901100284466668e-14,2.226660983125299e-19,1.8923059310110708e-14,5.274009568436034e-19,6.498517055560852e-17,-4.0312965265665e-20,1.5150935367162185e-13,-1.7195907224305142e-13,-7.950555442235052e-16,2.2015392014869495e-16,3.0565460285432537e-19,-2.5069137491883083e-15,-8.018226356896076e-16,-1.1571591191651116e-15,1.558984507177653e-14,1.3408003662055615e-14,-8.136923853482635e-16,-6.191104787890638e-15,5.274547790278486e-19,-7.36807626384975e-18,5.483023647838466e-19,-8.607852050030315e-15,4.530936262853118e-16,0.7339885627474165,3.2535584379180785e-19,-8.964890614373165e-14,2.371520565377917e-15,2.9682644164999416e-19,-1.1824110639208211e-15,5.042722975219642e-16,-5.363244636104503e-08,-1.1640752600525799e-07,-4.7848491398352e-07,-1.298074263960291e-09,1.6529930162668335e-10,5.179685942627779e-08,5.2952793952961305e-19,1.7933707220205297e-07,-1.5712646378251566e-11,1.4715525890136257e-09,-8.429480729599504e-12,1.6758814790305216e-10,-1.6957399805840537e-10,3.6498519554673994e-07,-6.456160932087215e-10,5.44885918482701e-07,-2.6662636099703e-10,-2.8623896854758825e-13,-7.667307936729122e-17,-3.449573061670638e-18,-5.448737347161598e-07,2.6567950532807922e-15,-3.6251531397045917e-13,3.791332928661856e-12,-7.845065341715669e-17,-1.2415211706426747e-21,-8.898996145664272e-14,-1.1896207632581548e-21,7.896338816170195e-26,-3.793661124223329e-12,5.807642260989508e-10,1.27041201156126e-21,-5.167948184380265e-22,-4.532976811875086e-12,-5.769102610761389e-10,1.0657013213729636e-20,-1.4522150538811973e-23,-6.029528099868478e-14,-6.318038021623018e-08,4.730553901635391e-18,-3.383627900968579e-18,-5.379553416117078e-13,4.760885534651872e-25,-5.911408555829415e-27,-1.028066540187196e-21,6.318038021042096e-08,5.070930070659082e-12,0.0,1.312446068996555e-18,-5.571255394911033e-19,1.202539564369942e-13,3.954317071978078e-21
0.003,0.2429495962717812,293.0000002131036,1.1601201975147397,1.7828794147185325e-05,0.026444417478318376,1061.1307041508587,5.302790172918533e-05,2.069473732086168e-08,7.715017044073033e-20,1.160368558034804e-13,0.2229713934199483,-1.0272669004097797e-17,1.7755226676891164e-11,2.93710013783195e-13,-1.0869146002675669e-14,-5.1454195814443695e-21,-1.8170269231827923e-25,-2.2501233544913577e-20,-1.625342167196204e-25,-4.903690906243306e-14,0.04304003652825311,1.579120545050705e-12,4.169493008223984e-14,6.973702402800203e-20,6.578702750658005e-14,-4.7761678576070566e-24,-2.8246338616630144e-20,-8.068610315720744e-16,1.1132174327866519e-20,4.243709172081162e-16,-3.762676459338237e-24,3.957372902295743e-14,-1.9173253762458087e-20,1.9415544742495727e-14,-5.389539571934163e-23,6.910427035631772e-17,-2.533568018883725e-18,3.2766724003326265e-14,-3.3225373056392564e-16,-7.76160574910514e-16,2.1914657941876768e-16,-4.991999187739873e-25,-9.487009101489604e-14,-7.84295689556331e-16,-1.1601562666236838e-15,1.554644271892642e-14,1.0553958608835698e-20,-8.152172043465869e-16,-6.1925000327184844e-15,-3.579928688674599e-24,-1.0343363584202408e-17,-2.4424759673044673e-18,-8.610674084447203e-15,2.2237204014023584e-14,0.733988549337342,-3.2155162926686302e-18,-8.965024894032221e-14,2.3694492531045203e-15,-7.519538822770724e-22,-1.1814615574597166e-15,-1.5381254526321517e-18,-6.670028882442003e-13,7.290853735897303e-13,-5.992797620020451e-13,-1.0671045444833503e-12,-9.08922432803952e-15,8.004883436000097e-13,2.2772220272512915e-19,8.665025953923616e-14,1.253125552617824e-17,1.5102602032855102e-14,8.282969707502362e-18,4.2478229927106276e-14,-4.24720663593396e-14,2.1265547045149763e-13,-6.636972542452033e-15,5.8735116488435315e-18,-2.7716791300759423e-15,5.537917728253984e-18,7.311323993389408e-18,-1.0923583479006694e-23,-1.5254487162694574e-13,-2.9724102046851507e-20,5.9398241685343666e-18,-9.720126724053602e-18,4.132215827937902e-18,-1.688017506616168e-24,9.093983517960954e-18,-2.781536639827742e-24,6.208555381541657e-29,-8.204489735472479e-13,1.1221331896716278e-12,2.4752865763256076e-20,-4.893471250703883e-21,7.406469584864615e-18,-3.015567270030085e-13,-2.2971230519702496e-19,-2.1491395748990555e-20,-1.260710333960991e-16,-4.973169739497424e-14,-1.0446861462580369e-19,-6.328064463574821e-19,9.094000529679539e-18,8.631840938914624e-30,3.294410839340325e-31,2.603727300061494e-20,4.97315634389131e-14,-1.6660499326591716e-17,0.0,2.5788785193667196e-18,-2.0535663533480867e-20,4.803030037348081e-18,6.781138293264844e-23
0.006,0.24295023019501422,293.00000763852,1.1601171704457507,1.782879364697148e-05,0.02644461033397682,1061.1333684678202,2.562789383135989e-05,2.2175082342900073e-07,-2.0113899707240875e-23,1.359689687553125e-13,0.22297134140741065,6.517220401293126e-17,6.1589638764638e-10,7.971427423444324e-13,5.573908892432235e-13,-1.74232069021412e-24,-4.8064032776282245e-25,-4.1467509339109884e-23,-4.28288174757079e-25,-2.0797297199723903e-14,0.0430400306239863,5.700797933406252e-11,2.1982602118722047e-12,-5.054754766324775e-23,2.1829385374356944e-13,-1.2678462326667707e-23,-5.702979453609226e-20,1.453840214240856e-14,-1.1665936880190046e-24,1.839495717970634e-15,-9.953633506319772e-24,6.697782523682589e-14,-4.929734564809573e-20,4.530320286494841e-14,-1.4257205638352823e-22,4.449638654317926e-16,-7.154544670707467e-18,7.101758163936444e-15,-6.607434935748466e-19,-2.776994585090645e-16,2.396059372605056e-16,-1.3210988246135513e-24,-3.934405156585232e-14,1.5845042251547623e-16,-1.159366429419823e-15,1.5541219330112405e-14,-4.17309543961062e-24,-8.066608677425927e-16,-6.195834503800355e-15,-9.469946941472776e-24,-1.502975691422888e-17,-7.893480125522724e-18,-8.60840594915299e-15,2.2224783057020434e-14,0.7339884055409588,-9.270881581370936e-18,-8.965259007180333e-14,2.375807825144101e-15,-1.989323459485182e-21,-9.80830390651939e-16,-7.370554666175888e-18,1.0588779474530353e-16,1.1728315297560884e-13,-1.7504908031930127e-13,4.796325531365125e-16,5.765378055284084e-14,-3.2715941219895326e-16,1.6771491652546056e-18,2.934099315513208e-17,3.314760939529631e-17,2.206900112008078e-17,2.1912174233972327e-17,1.1807107265514333e-13,-1.1806465868199122e-13,-2.3422394875794247e-16,-1.2237606696198805e-17,1.469508509277498e-17,-6.038195694200438e-17,1.4700226514351452e-17,1.6043157539025327e-17,-5.019659738667849e-22,1.5985819528496336e-17,-8.365867135967019e-20,1.5712887337951994e-17,-2.5212205866302306e-17,1.327803193957965e-17,-5.856583446996082e-24,2.4056634552368418e-17,-2.0908154396797313e-23,7.383374481657163e-36,-1.778207670779136e-13,2.231541557881736e-15,2.7086468003467174e-20,-1.8760479598669047e-20,1.9593307275420237e-17,1.7559953347411826e-13,-2.2896704506386653e-19,-8.820188496003133e-21,-9.834191309488997e-18,1.96640894153315e-17,-1.010221945893822e-20,-5.504987272414256e-20,2.4056191150837677e-17,5.215613473167678e-57,-1.8363117175489102e-36,2.796743371070665e-19,-2.0072231616650153e-17,-4.3670429119659874e-17,0.0,3.96860271424418e-18,-4.4283163981041914e-20,1.2705584425234136e-17,6.56758236195874e-23
0.0075,0.24295291310034217,293.00010582314366,1.1601043593855815,1.7828794678284477e-05,0.026445414528657157,1061.1444233474804,1.2660816179387793e-05,1.0547811933881193e-06,1.6025440087831243e-22,1.455990252972042e-13,0.2229711229577336,7.423914822583428e-17,8.470442938815073e-09,7.95548433675904e-12,8.664138759971627e-12,1.2280873695411087e-23,3.3928869817447075e-24,2.9098908029182034e-22,3.0228704009598792e-24,1.1148275054529597e-13,0.04304000437104248,8.448439234487408e-10,4.2198349346478685e-11,3.5782413881261048e-22,3.0838913221912223e-12,8.949223548167237e-23,6.505511430060136e-19,3.0803040620354635e-13,8.25663638200736e-24,2.6771044338633826e-14,7.025743133061485e-23,5.668794906931354e-13,2.2742020912419707e-19,5.569648934882585e-13,1.0062513310702743e-21,8.72329032002897e-15,1.3723349023231976e-17,2.5595308147722892e-15,6.509271935744246e-20,4.23925272857876e-15,5.641583037600694e-16,9.325125981529526e-24,-1.9227061840492018e-14,1.6173597591213735e-14,-1.0163844357446854e-15,1.5599288357052336e-14,2.951119925180649e-23,-5.65977634848501e-16,-6.181554667942637e-15,6.684295594368424e-23,2.1714191082897622e-17,1.4608370394294173e-17,-8.444561111894335e-15,2.2275501890801102e-14,0.7339878085111752,1.6627436646696e-17,-8.962975715730223e-14,2.6651670518346373e-15,1.404320886991141e-20,3.5396028730342103e-15,-3.37482435008469e-17,-8.192591243159869e-16,6.370791590997315e-17,-6.810745230022979e-14,-1.8014747475069966e-16,6.570931401713588e-14,2.0702040092920952e-15,1.6706025790828174e-16,-2.0680741570191588e-16,-2.33989390561084e-16,-1.5465857788291845e-16,-1.546618170080836e-16,1.3033672615263888e-13,-1.3046256385952672e-13,1.655370417896204e-15,8.58887959654763e-17,-1.0535922292704043e-16,4.555107868499836e-16,-1.0376238004866256e-16,-1.114704699729741e-16,3.542572370993901e-21,-1.131379884925876e-16,5.893168177694896e-19,-1.109064099300541e-16,1.357085462090192e-16,-9.820478464870524e-17,1.9745807396379496e-18,-1.6978332998016465e-16,-4.366137954534909e-22,-6.983983600611615e-31,-6.408698951261098e-14,-2.198240531127901e-16,-1.4983201737815315e-18,1.3622197268383992e-18,-1.3829987673810655e-16,6.431750144721873e-14,-1.0406473054705866e-18,-1.5918354735090607e-21,-9.491712848458587e-18,-1.3905681179083618e-16,1.7922919130708643e-20,1.1838154328119543e-19,-1.6979366049513631e-16,-2.2321369160878158e-28,-4.094180835203214e-33,1.333347721958952e-18,1.3758386969137723e-16,3.080870635793242e-16,0.0,1.9161706295743875e-17,-3.7860147074376034e-19,-8.962870549886495e-17,-2.5178128459644178e-22
0.00825,0.24295951472473634,293.000779496906,1.1600728373729208,1.7828817593605525e-05,0.026447315596394627,1061.1701941009098,1.1420517080469958e-05,2.9888064154996293e-06,-1.102944205329227e-22,1.9237861628378334e-13,0.22297059544392303,1.0497015945505827e-16,6.200658791205188e-08,6.052040708478845e-11,6.856893696355125e-11,-1.1099095825854613e-23,-3.066061514524658e-24,-2.628184258442506e-22,-2.7299694128480762e-24,9.47643786277929e-13,0.04303993159077181,6.640758693929107e-09,4.2315887429842275e-10,-3.217153825149778e-22,3.0717664323526714e-11,-8.08643697876619e-23,2.135820688789099e-17,3.1870136412567484e-12,-7.46144844046033e-24,2.5182757868533975e-13,-6.348564214497025e-23,5.249157796792437e-12,-5.829228662729772e-19,5.7403054818334065e-12,-9.09026391414548e-22,1.0040952179994698e-13,3.165936552417354e-17,1.3626756688474347e-15,-5.824757144020946e-20,2.554447075087799e-14,2.7423670938034477e-15,-8.428979622167834e-24,5.873054816116721e-14,1.5482536655872051e-13,1.332261403528712e-16,1.5878843329990227e-14,-2.666710256787275e-23,1.6510190338000494e-15,-6.183706533721099e-15,-6.039570815402135e-23,1.5429392718781663e-16,1.098587327348757e-17,-7.099453542109438e-15,2.2266923507930868e-14,0.7339864149126678,1.0816530337004718e-17,-8.961083972682901e-14,6.194718384438673e-15,-1.2591659185069931e-20,5.394016973609309e-14,-1.2432353677259274e-16,7.377828081754436e-16,-5.283265888203845e-14,-2.6874567639814676e-14,-1.5283506578045582e-15,9.287530736239724e-14,-2.1148053760353034e-14,9.667755477525132e-15,1.8689634263425814e-16,2.1144336047779957e-16,1.3969090499299905e-16,1.3970142512130804e-16,1.718769278345035e-13,-1.7810558399407814e-13,-1.4549620843870272e-15,-7.68045786673354e-17,9.519978116166749e-17,6.3262977993157435e-15,9.375830302535076e-17,-7.652742072124558e-16,1.2149341467226785e-19,1.0223580396623046e-16,-5.43877943626225e-19,1.0021105612605229e-16,-2.5571790007112205e-16,7.537359112679668e-17,1.4267241828341492e-16,1.5337797856165772e-16,-6.665744939022353e-21,1.11065316469964e-30,-3.4119043575288755e-14,1.967846520289238e-16,-2.4341828825285207e-17,2.3258294315839466e-17,1.2500544307256123e-16,3.390877036116751e-14,2.2943381285640675e-17,3.943711336619639e-20,-8.879395739780972e-18,1.2564808946021937e-16,8.29861873669506e-20,5.272555546609727e-19,1.5340588927031018e-16,-6.156047628175488e-28,2.124266422347629e-33,3.776515500233981e-18,-1.2964541383273707e-16,-2.7839143036285936e-16,0.0,1.303001853274295e-16,-2.8260324454313536e-18,8.058783875156548e-17,-5.323599902886567e-21
0.008625,0.24297010752355508,293.0032588661279,1.160022261531378,1.7828920317022155e-05,0.026450114378329538,1061.2069128853348,8.934995362318597e-05,5.717464540853655e-06,1.4938951401623732e-21,3.2289600854472775e-13,0.22296977833846596,3.6265704210952475e-16,2.578412025739521e-07,2.66663712302077e-10,3.048838530586243e-10,1.0586976507077674e-22,2.9244969996531264e-23,2.5073358359000566e-21,2.6046474683370565e-23,4.048486535916557e-12,0.04303978833631215,2.9409400082635886e-08,2.332536749915815e-09,3.0941851838223863e-21,1.7086808290944118e-10,7.714551029323317e-22,4.540226766940776e-16,1.802817115182685e-11,7.11914155956754e-23,1.3245145399176694e-12,6.056426502126101e-22,2.834942818203084e-11,5.778185182957304e-19,3.319678952392947e-11,8.674437583029855e-21,6.322959218552488e-13,1.8393829893884393e-16,9.626177482690736e-16,5.600273370488159e-19,8.132823605721762e-14,1.0905864556623017e-14,8.038099050244176e-23,3.5780772043834956e-13,7.907238591730817e-13,5.991495441113708e-15,1.7016955424960063e-14,2.5443999655379273e-22,1.308038361429174e-14,-6.162971790599855e-15,5.761481091182518e-22,8.708549378110461e-16,4.220619923816078e-17,-2.839766949641456e-16,2.2337869985816118e-14,0.7339844254476406,3.314090013284675e-17,-8.953063665654759e-14,3.001732402716192e-14,1.2109513397228625e-19,3.488106114958729e-13,-4.700696988461507e-16,-7.046583440216331e-15,-1.1811479141874844e-13,-5.628477884875913e-15,-5.656863048352089e-14,3.212759131272818e-13,-3.316141374521299e-13,1.876733290502174e-13,-1.7825812182344173e-15,-2.016695235497286e-15,-1.332367791088615e-15,-1.332647861276028e-15,3.454454675598748e-13,-4.621208911565912e-13,1.4502967421161327e-14,7.453669694813244e-16,-9.080169738591816e-16,1.4334044751663808e-13,-8.943028091831884e-16,-3.057575121516548e-14,4.0859296879390096e-18,-9.753578644181959e-16,4.996661957854356e-18,-9.559128140508146e-16,6.763758051803195e-16,-7.561616170305421e-16,2.6037437678489188e-15,-1.4633758737763944e-15,-7.039411388152746e-20,-8.723540578226038e-29,-2.410408767466987e-14,-1.8906869606789916e-15,-1.4744467720946594e-16,1.4165490046279176e-16,-1.1920271996389881e-15,2.5382323924918857e-14,6.214342241937482e-16,2.1509724173601058e-19,-5.155674757582122e-18,-1.1987351675786424e-15,2.5182804003720186e-19,1.5879656941043027e-18,-1.463305655447626e-15,3.578146945293e-26,-1.1005424910881658e-31,7.250055008102461e-18,1.1909528518667826e-15,2.6554449601820465e-15,0.0,5.64611864260892e-16,-1.2404053521976772e-17,-7.690323877892846e-16,-5.850669952249159e-20
0.009,0.24299983965337651,293.01624987715667,1.159880327565256,1.7829493121635615e-05,0.026456884733321483,1061.2899918556418,0.0018325700422666266,1.17602421564758e-05,-3.3953090052234704e-21,8.408007557582291e-13,0.2229675962143649,5.0614185603565694e-15,1.278260661014447e-06,1.4133084058266053e-09,1.626598228172209e-09,-4.457887601450009e-22,-1.2314919479559707e-22,-1.0548394020047465e-20,-1.0934631199978876e-22,2.0170255166578667e-11,0.0430392720191629,1.5625751413218283e-07,1.5728623533404156e-08,-1.2723291103990107e-20,1.1652881625369397e-09,-3.246986158486605e-21,1.106619088732404e-14,1.2498154713420958e-10,-2.997790532892952e-22,8.498617298555805e-12,-2.5503192824241036e-21,1.8800177205389985e-10,-1.7132056251554346e-17,2.3695538300934766e-10,-3.651687537980028e-20,4.9229205661636675e-12,1.1052362442932501e-15,6.198003823941826e-16,-2.3495165670649345e-18,2.944902114266918e-13,5.420127835337786e-14,-3.3844168908978177e-22,2.0301467867522178e-12,4.8904000513742865e-12,4.708243253378224e-14,2.3152524232664724e-14,-1.0715453315878969e-21,9.50402017815167e-14,-6.2181904762562895e-15,-2.4262765848981822e-21,5.602796019750314e-15,-5.225229733170628e-17,4.739532778705935e-14,2.2128764476302332e-14,0.7339799164775144,-1.3042276958954108e-16,-8.937594564950496e-14,2.515499075021623e-13,-4.998862583289614e-19,2.7465482385029214e-12,-7.151503179271432e-15,2.960986422124433e-14,-4.568159308516693e-13,2.079448756605186e-12,-1.1357577336605405e-12,4.484712338400142e-12,-1.0239897869210993e-11,5.269722069231556e-12,7.504383269211695e-15,8.49069217026901e-15,5.610052706902226e-15,5.611415088562896e-15,1.7130657530524411e-12,-4.770616370855548e-12,-5.6278903899105034e-14,-2.947991750308744e-15,3.822705746074089e-15,3.4335733274791804e-12,3.765113533396469e-15,-5.205829733869508e-13,2.1062478950085675e-16,4.10585619302405e-15,-2.299171104714643e-17,4.0243311399726765e-15,-8.230137332470238e-15,3.0612519641797273e-15,6.4613918290572e-14,6.160515459165333e-15,-1.4382071903193053e-18,1.1941021340467565e-27,-1.552939693267913e-14,7.93643200366814e-15,-1.1099050832364376e-15,1.0553211834315058e-15,5.018310965712672e-15,-1.110996093849985e-14,1.8715810278859738e-14,1.275955063624287e-18,3.4402648151638865e-17,5.046885253940011e-15,8.057376911572951e-19,5.0900199746239726e-18,6.160755923412627e-15,-8.544911894225297e-25,1.6818874371313215e-32,1.4718034847102746e-17,-5.063946569433134e-15,-1.1178470662119354e-14,0.0,2.9710996141720433e-15,-6.555903279621493e-17,3.235723936498903e-15,-1.4087763727815648e-18
0.009187499999999998,0.2430405709513116,293.04339354271707,1.1596859426155595,1.783071860178511e-05,0.02646447801831656,1061.3728326116163,0.014688992862211661,1.7533954799389776e-05,2.2479427591465565e-20,1.6762634115291914e-12,0.2229647491864341,4.14501114948875e-14,3.3996012811818697e-06,3.948959515714225e-09,4.563531839034086e-09,3.900893334933654e-22,1.077756393854835e-22,9.386525045253217e-21,1.023248384733327e-22,5.362084513902925e-11,0.043038387466009805,4.3711460915680016e-07,5.264639359459584e-08,1.3928346782167413e-20,3.935157618912422e-09,2.8662932996061984e-21,9.063847567156248e-14,4.27373554622887e-10,2.624697544067077e-22,2.7387982985598182e-11,2.2331166008330492e-21,6.217171001351663e-10,-1.607736682295941e-17,8.294213071451022e-10,3.198325353376056e-20,1.843936278010157e-11,4.492072445310785e-15,5.449408183693922e-16,1.934594807932909e-18,6.269457237989507e-13,1.4614904351183554e-13,2.961942052242539e-22,5.757059271265886e-12,1.5313513714464047e-11,1.6164958290169531e-13,3.7140995741786796e-14,9.381748728089976e-22,3.265147124894061e-13,-6.0524809422839084e-15,2.123902465408815e-21,1.9186297231329607e-14,1.8268047733383336e-16,1.7975804291359448e-13,2.2676174829878497e-14,0.7339754255691394,-4.270043825729058e-17,-8.88553806948522e-14,1.0533600817924733e-12,4.940068431899756e-19,1.035882759374811e-11,-8.421781173162298e-14,-2.64942448965475e-14,-1.0962095192276279e-12,1.357279263997279e-11,-1.3846295962709797e-11,3.6786561734025085e-11,-7.658957599289344e-11,4.111668782035304e-11,-6.5650590412496476e-15,-7.42865892889717e-15,-4.908396648368285e-15,-4.910606360146643e-15,1.4205294591500066e-11,-3.6853127083661224e-11,7.276628191009996e-14,5.420582180669624e-15,-3.3446633672382828e-15,2.8205341653468468e-11,-3.2936616187180743e-15,-6.4939347990148036e-12,2.8689026803705114e-15,-3.593188239929454e-15,8.822036014629503e-18,-3.5223626629460447e-15,-5.163310227013402e-15,-2.4619487951530165e-15,4.564708203366499e-13,-5.386700374473643e-15,-1.099624665970869e-17,-3.1979863577241234e-26,-1.3673707140662648e-14,-6.51360121485467e-15,-3.5837773239122165e-15,3.3520861115536757e-15,-4.391060548062102e-15,-1.2808404639997614e-13,1.4829548450587942e-13,3.9570565575951884e-18,1.8865144566034687e-16,-4.41687645854482e-15,1.8915718904600048e-18,1.1891932461694188e-17,-5.3912568662559625e-15,2.1226225876160424e-24,-6.705750544535033e-30,2.2716677088107482e-17,4.387956978894894e-15,9.784025013960123e-15,0.0,8.237827898803507e-15,-1.8200508008434242e-16,-2.806166616561047e-15,-1.640690631497691e-17
0.009374999999999998,0.24314034699686576,293.12802975267647,1.159210049272891,1.783457581551911e-05,0.02647981365555217,1061.5156105461576,0.13631356340272396,2.6813597001349553e-05,1.9813072466148327e-19,3.745177307677445e-12,0.22295796594517034,3.642530502298754e-13,9.98579797801537e-06,1.2271135913694716e-08,1.4241909070108874e-08,2.1778042224041835e-22,6.014307314580786e-23,8.656213163630964e-21,2.1797870500203766e-22,1.572006066367025e-10,0.04303587541012617,1.3597662040241062e-06,2.0058586882194628e-07,5.830300021186524e-20,1.514315317416778e-08,2.305025873944625e-21,8.256136192528729e-13,1.6679277080553126e-09,1.4656620203775603e-22,9.998763393103676e-11,1.2508712244951464e-21,2.337033202779773e-09,-5.629715924812752e-17,3.3233657776166194e-09,1.8191655944690013e-20,7.970621439741321e-11,1.95609944532099e-14,4.611239270117993e-16,1.0896106212043796e-18,1.4285471657968087e-12,4.3647678537790135e-13,1.6503316785955687e-22,1.8074549924485436e-11,5.410963530547295e-11,6.234986335490096e-13,8.303284304558566e-14,5.232807156462031e-22,1.2738225466416321e-12,-5.558978107937702e-15,1.1857987776015722e-21,7.350876458443075e-14,8.378653113764997e-16,7.116242627217474e-13,2.4218725026455406e-14,0.7339677494442315,-1.5429993767780604e-17,-8.745421734836571e-14,5.186624837671175e-12,6.895022970978069e-19,4.51114765384064e-11,-1.16558416375311e-12,-2.2485403983896106e-14,-4.31204340628777e-12,1.4587989323817086e-10,-1.215247788820319e-10,3.243795756694319e-10,-7.411791344498732e-10,3.963753300319014e-10,-3.66309097929655e-15,-4.142354344710826e-15,-2.7473102218894028e-15,-2.7411904624057554e-15,1.1354929801081413e-10,-3.191364781352559e-10,1.9566956568767402e-13,6.807714710308405e-14,-1.8895659332085178e-15,2.566634688906231e-10,-1.841586912560197e-15,-5.9193891377703e-11,4.804676958728243e-14,-2.0040325618004483e-15,-7.079843151254528e-17,-1.9615754139340685e-15,-2.996405793863135e-14,-4.568536078797088e-15,3.919684684032935e-12,-2.9996002421189995e-15,-1.1606818339363732e-16,-1.2268211759382315e-24,-1.1625880279936563e-14,-3.589021125624681e-15,-1.2889240738397423e-14,1.1708782178741489e-14,-2.4454874088142236e-15,-1.4303206488976912e-12,1.4456422350082078e-12,1.4359746314113277e-17,1.0207331077699815e-15,-2.4609447843933652e-15,4.68459644233628e-18,2.947730243802023e-17,-3.0076682557185846e-15,4.002628027867426e-24,-2.7411114902328065e-28,3.7231408724273066e-17,2.4026387498020316e-15,5.458772653176075e-15,0.0,2.514702876712548e-14,-5.56684713091804e-16,-1.5915168777657612e-15,-3.7960989657505476e-16
0.009562499999999998,0.2434075447385817,293.3917283558934,1.1579375402604541,1.7846648005273777e-05,0.0265142122731514,1061.775058676345,1.3356248314076629,4.1724577520071976e-05,2.533133823222221e-18,8.891825586065962e-12,0.2229399323734925,3.205790216394218e-12,3.0424341773745178e-05,3.9599307043197765e-08,4.611049217896689e-08,-2.1250383394685715e-21,-5.869857476358084e-22,3.969137853769347e-20,3.862373762019304e-21,4.763914855511959e-10,0.0430284375053985,4.389663940158019e-06,7.931570053456726e-07,1.4571230260219321e-18,6.046423900248221e-08,8.995170668093336e-21,7.562775727172877e-12,6.754769059523617e-09,-1.433515701902997e-21,3.7889817565334586e-10,-1.1940005283753864e-20,9.117925912625214e-09,-5.449300327204313e-17,1.3816457112801658e-08,-1.674645575516993e-19,3.5727860640459215e-10,8.767347564079284e-14,3.645803191324787e-16,-7.787207878753565e-18,3.3609607057496733e-12,1.3530350187822241e-12,-1.6104469871336772e-21,5.881560669047986e-11,1.983791473142559e-10,2.485537365105153e-12,2.34091739266023e-13,-5.115521366560656e-21,5.149372656471685e-12,-3.6329657550985574e-15,-1.157044380043487e-20,2.9165218552886745e-13,3.309272190086542e-15,2.8488618352570835e-12,3.003781812639288e-14,0.7339541207822997,-7.358024581097205e-17,-8.341070470672054e-14,2.6484433591023067e-11,1.7410967183955697e-18,2.0369206443001137e-10,-1.64699915045863e-11,5.4603684229279256e-14,-2.4359037953513966e-11,1.814906980623327e-09,-9.201716030745634e-10,2.881823854054473e-09,-7.86474908372165e-09,4.1081272187570155e-09,3.569377562747781e-14,4.034122315780328e-14,2.657536622090966e-14,2.667225897783013e-14,8.029183337421376e-10,-2.8040777444590825e-09,2.184120945548833e-12,1.822153998766274e-12,1.7797254328667864e-14,2.346497800898022e-09,1.7922163907994265e-14,-4.2226132335704245e-10,9.01935836331827e-13,1.953361422312122e-14,-8.347818557728402e-16,1.913335277810743e-14,-1.3368369100591897e-13,-4.076880955700555e-14,3.590381720227934e-11,2.920777517882942e-14,-1.617958887521605e-15,-7.019967809934925e-23,-9.331407790953866e-15,2.6793799611753724e-14,-4.9825629398834466e-14,4.3207674075643666e-14,2.383503646587363e-14,-1.515598390999151e-11,1.5139193784618168e-11,6.279509127259914e-17,5.789575772296033e-15,2.3986855089671856e-14,1.1153797790006228e-17,7.048352399005472e-17,2.928372338351126e-14,-8.971959722877573e-23,-1.4114518594119672e-26,6.70992389118287e-17,-2.4149124674640857e-14,-5.309673183193911e-14,0.0,7.720493691737546e-14,-1.7327492210940696e-15,1.4824620188310354e-14,-1.2594523401741001e-14
